queue_order,diversity,job_duration_s,slow_reconfig_s,fast_reconfig_s,window_size,static_makespan_s,per_job_makespan_s,stratocs_makespan_s,oracle_makespan_s,static_speedup,per_job_speedup,oracle_loss_pct,reconfig_fraction,slow_reconfig_reduction_pct,retained_improvement_pct,verdict
clustered,low,600,120,0.001,10,12000.0,14050.679749999996,11909.7215,11650.659749999995,1.0075802360281894,1.1797656015717912,2.2235800852394183,0.020153284020957167,90.0,94.54922528966996,conditional
random_avg,low,600,120,0.001,10,12000.0,14050.67975,11909.7215,11650.659749999999,1.0075802360281894,1.1797656015717917,2.2235800852393917,0.020153284020957167,90.0,94.54922528967097,conditional
clustered,low,600,120,0.001,20,12000.0,14050.679749999996,11789.721499999996,11650.659749999995,1.0178357478588451,1.1917736776055312,1.193595495740074,0.010180053871501548,95.0,94.54922528967101,conditional
random_avg,low,600,120,0.001,20,12000.0,14050.67975,11789.7215,11650.659749999999,1.0178357478588447,1.1917736776055312,1.193595495740074,0.010180053871501544,95.0,94.54922528967076,conditional
clustered,low,600,120,0.01,2,12000.0,14050.859749999996,12858.183499999997,11650.659749999995,0.9332577964842392,1.092756200749507,10.36442378295359,0.093341333945032,50.0,97.90354818833464,drop
random_avg,low,600,120,0.01,2,12000.0,14050.85975,12860.634199999999,11650.659749999999,0.9330799794100167,1.0925479938519194,10.38545864323264,0.09332354927399185,50.0,97.20202581866808,drop
clustered,low,600,120,0.01,5,12000.0,14050.859749999996,12142.908500000001,11650.659749999995,0.9882311144813452,1.157124732513631,4.225071889169252,0.03954571509782849,80.0,96.55099863242063,conditional
random_avg,low,600,120,0.01,5,12000.0,14050.85975,12148.49765,11650.659749999999,0.9877764902619814,1.1565924107515284,4.273044708905873,0.03952752255198362,80.0,94.95108279106094,conditional
clustered,low,600,120,0.01,10,12000.0,14050.859749999996,11909.9015,11650.659749999995,1.0075650079893608,1.1797628846888444,2.2251250621236673,0.02016809290992037,90.0,94.54922528966996,conditional
random_avg,low,600,120,0.01,10,12000.0,14050.85975,11909.9015,11650.659749999999,1.0075650079893608,1.1797628846888448,2.2251250621236407,0.02016809290992037,90.0,94.54922528967097,conditional
