workload,method,penalty_us,total_cycles,total_ms,normalised_to_fair_universal_static,gain_vs_fair_static_percent,number_of_reconfigurations,selected_candidate_name,graph_hash,selection_signal,evaluation_target,no_leakage,observed_bytes,evaluated_bytes,dominant_bottleneck,sender_bottleneck_time_ms,receiver_bottleneck_time_ms,optical_resource_bottleneck_time_ms,byte_conservation,same_budget_check
qwen_mmlu_machine_learning,prefill10-warmup OCS,25000,77528366,77.528366,1.6812298109384378,-68.12298109384379,1,random_regular_seed_24,e6adf16e6d662ab53573532f6fb9a6ddcf19509cc3adfedfff89d8b7d079e7cc,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,5147099136,221875322880,optical_resource,5.295944,3.199424,20.274569,True,True
qwen_mmlu_machine_learning,phase-warmup OCS,25000,104112646,104.112646,2.2577192475703733,-125.77192475703733,2,prefill:random_regular_seed_24 decode:random_regular_seed_27,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,23928881152,221875322880,optical_resource,3.199424,4.747695,18.608792,True,True
qwen_mmlu_machine_learning,oracle,25000,46114080,46.11408,1.0,0.0,0,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,221875322880,221875322880,optical_resource,3.199424,5.295944,18.198966,True,True
qwen_mmlu_machine_learning,previous-request OCS W=16,25000,209208731,209.208731,4.536764714811615,-353.6764714811615,6,"window_selected_counts={'random_regular_seed_8': 2, 'random_regular_seed_11': 2, 'random_regular_seed_0': 1, 'random_regular_seed_26': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,31986434048,221875322880,optical_resource,0.458183,0.78453,3.070755,True,True
deepseek_mmlu_machine_learning,static SON / torus,0,93855373,93.855373,3.5456540193609203,-254.56540193609206,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,131539206144,131539206144,optical_resource,2.359161,1.971282,37.132822,True,True
deepseek_mmlu_machine_learning,full-prefill-informed decode OCS,0,26162362,26.162362,0.988357736123167,1.1642263876833032,1,random_regular_seed_27,1976e348a1f7084da14c994d5af718e06ff4238c528669842f88a59559e7870e,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,27984723968,131539206144,optical_resource,2.359161,1.971282,9.961458,True,True
deepseek_mmlu_machine_learning,prefill10-warmup OCS,0,30297594,30.297594,1.1445779022482314,-14.457790224823151,1,random_regular_seed_24,e6adf16e6d662ab53573532f6fb9a6ddcf19509cc3adfedfff89d8b7d079e7cc,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,3115483136,131539206144,optical_resource,1.971282,2.359161,11.314913,True,True
deepseek_mmlu_machine_learning,phase-warmup OCS,0,28152474,28.152474,1.0635398848508524,-6.353988485085249,2,prefill:random_regular_seed_24 decode:random_regular_seed_27,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,14348877824,131539206144,optical_resource,1.689491,2.104835,8.881429,True,True
deepseek_mmlu_machine_learning,oracle,0,24888978,24.888978,0.9402520288687737,5.97479711312263,0,signal_greedy,040a28a0c6caca24981f5a0878c378de7028fef8b5912db51accd8703c8dbb63,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,131539206144,131539206144,optical_resource,2.359161,1.971282,9.827359,True,True
deepseek_mmlu_machine_learning,previous-request OCS W=16,0,32558973,32.558973,1.2300079344814248,-23.00079344814248,6,"window_selected_counts={'random_regular_seed_8': 2, 'random_regular_seed_27': 2, 'random_regular_seed_11': 2}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,19296108544,131539206144,optical_resource,0.281982,0.35778,1.602312,True,True
deepseek_mmlu_machine_learning,static SON / torus,1,93855373,93.855373,3.5456540193609203,-254.56540193609206,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,131539206144,131539206144,optical_resource,2.359161,1.971282,37.132822,True,True
deepseek_mmlu_machine_learning,full-prefill-informed decode OCS,1,26163362,26.163362,0.9883955139712115,1.1604486028788459,1,random_regular_seed_27,1976e348a1f7084da14c994d5af718e06ff4238c528669842f88a59559e7870e,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,27984723968,131539206144,optical_resource,2.359161,1.971282,9.961458,True,True
