Total batches,143051.1474609375,Explicit schedule unit,one optimization step,DP overlap mode,lump
Event,Type,start time,end time,duration,Bytes to be transferred,Collective type,Parallelism,Locality,Degree,Lane,Step,Layer index,First layer,Last layer,Layer count,Bucket id,Unit kind,Ready time,Raw comm duration,Raw reconf duration,Hidden comm duration,Exposed comm duration,Hidden reconf duration,Exposed reconf duration,Stage index,Microbatch index,Scheduler explicit,Event provenance,Ordering source,topology_signature,Topology candidate tag,previous_event_type,previous_topology_signature,gap_from_previous_s
FWD_TP_COMM_INTRA,Comm,0.12803157097589218,0.12806433334033662,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,16,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.12806433334033662,0.13556476705473552,0.007500433714398902,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,17,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.13556476705473552,0.13559752941917996,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,17,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.13559752941917996,0.14309796313357886,0.007500433714398902,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,18,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.14309796313357886,0.1431307254980233,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,18,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.1431307254980233,0.1506311592124222,0.007500433714398902,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,19,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.1506311592124222,0.15066392157686664,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,19,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.15066392157686664,0.15816435529126555,0.007500433714398902,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,20,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.15816435529126555,0.15819711765570998,3.2762364444438585e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,20,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
FWD_LAYER_COMPUTE,Compute,0.15819711765570998,0.1656975513701089,0.007500433714398902,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,21,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
