Layer, Type, start time, end time, duration, Bytes to be transferred, Collective type, Parallelism, Locality, Degree, SRC, DEST
'FWD_MHA', 'Compute', 2507.8420017391927, 2533.773864981653, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 2533.773864981653, 2563.5718240000638, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 2563.5718240000638, 2589.503687242524, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 2589.503687242524, 2619.301646260935, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 2619.301646260935, 2645.233509503395, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 2645.233509503395, 2675.031468521806, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 2675.031468521806, 2700.963331764266, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 2700.963331764266, 2730.761290782677, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 2730.761290782677, 2756.693154025137, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 2756.693154025137, 2786.491113043548, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 2786.491113043548, 2812.422976286008, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 2812.422976286008, 2842.220935304419, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 2842.220935304419, 2868.1527985468792, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 2868.1527985468792, 2897.95075756529, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 2897.95075756529, 2923.8826208077503, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 2923.8826208077503, 2953.680579826161, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 2953.680579826161, 2979.6124430686214, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 2979.6124430686214, 3009.4104020870323, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3009.4104020870323, 3035.3422653294924, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
'FWD_FFN', 'Compute', 3035.3422653294924, 3065.1402243479033, 29.797959018410722, 'NONE', 'NONE', 'NONE', 0
'FWD_MHA', 'Compute', 3065.1402243479033, 3091.0720875903635, 25.931863242460267, 'NONE', 'NONE', 'NONE', 0
