workload,regime,loss_budget,port_budget,best_fixed_depth,pathbudget_assignment,fixed_time_s,pathbudget_time_s,oracle_time_s,speedup,oracle_gap_pct,port_usage,max_loss_db,feasible,feasibility_failures,verdict
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,strict,medium,none,none,,,,,,,,False,"{'reach': 21, 'loss': 19, 'port': 7}",infeasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,strict,high,none,none,,,,,,,,False,"{'reach': 21, 'loss': 19, 'port': 0}",infeasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,medium,low,none,none,,,1.095946601658,,,,,False,"{'reach': 21, 'loss': 0, 'port': 21}",infeasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,medium,medium,none,TP2-PP2-DP3,,1.0963778727406666,1.095946601658,,0.03935146858562444,12.0,10.5,True,"{'reach': 21, 'loss': 0, 'port': 7}",keep_no_fixed_feasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,medium,high,TP3-PP3-DP3,TP2-PP3-DP3,1.5616608186179999,1.095946601658,1.095946601658,1.4249424344721224,0.0,14.4,10.5,True,"{'reach': 21, 'loss': 0, 'port': 0}",strong_keep
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,relaxed,low,none,none,,,1.095946601658,,,,,False,"{'reach': 21, 'loss': 0, 'port': 21}",infeasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,relaxed,medium,none,TP2-PP2-DP3,,1.0963778727406666,1.095946601658,,0.03935146858562444,12.0,10.5,True,"{'reach': 21, 'loss': 0, 'port': 7}",keep_no_fixed_feasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,relaxed,high,TP3-PP3-DP3,TP2-PP3-DP3,1.5616608186179999,1.095946601658,1.095946601658,1.4249424344721224,0.0,14.4,10.5,True,"{'reach': 21, 'loss': 0, 'port': 0}",strong_keep
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,strict,low,none,none,,,,,,,,False,"{'reach': 21, 'loss': 19, 'port': 18}",infeasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,strict,medium,none,none,,,,,,,,False,"{'reach': 21, 'loss': 19, 'port': 2}",infeasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,strict,high,none,none,,,,,,,,False,"{'reach': 21, 'loss': 19, 'port': 0}",infeasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,medium,low,none,none,,,1.2169452351759997,,,,,False,"{'reach': 21, 'loss': 0, 'port': 18}",infeasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,medium,medium,none,TP1-PP2-DP3,,1.2169452351759997,1.2169452351759997,,0.0,8.2,11.0,True,"{'reach': 21, 'loss': 0, 'port': 2}",keep_no_fixed_feasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,medium,high,TP3-PP3-DP3,TP1-PP2-DP3,3.8240064744719997,1.2169452351759997,1.2169452351759997,3.1422995578917368,0.0,8.2,11.0,True,"{'reach': 21, 'loss': 0, 'port': 0}",strong_keep
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,relaxed,low,none,none,,,1.2169452351759997,,,,,False,"{'reach': 21, 'loss': 0, 'port': 18}",infeasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,relaxed,medium,none,TP1-PP2-DP3,,1.2169452351759997,1.2169452351759997,,0.0,8.2,11.0,True,"{'reach': 21, 'loss': 0, 'port': 2}",keep_no_fixed_feasible
GPT-3-175B-like_mixed_TP8_PP8_DP16,deep_oversubscribed_global_bottleneck,relaxed,high,TP3-PP3-DP3,TP1-PP2-DP3,3.8240064744719997,1.2169452351759997,1.2169452351759997,3.1422995578917368,0.0,8.2,11.0,True,"{'reach': 21, 'loss': 0, 'port': 0}",strong_keep
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,strict,low,none,none,,,1.4473728441839997,,,,,False,"{'reach': 24, 'loss': 0, 'port': 13}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,strict,medium,TP3-PP3-DP3,TP1-PP3-DP3,2.6191993191919996,1.4473728441839997,1.4473728441839997,1.809623090357656,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,strict,high,TP3-PP3-DP3,TP1-PP3-DP3,2.6191993191919996,1.4473728441839997,1.4473728441839997,1.809623090357656,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,low,none,none,,,1.4473728441839997,,,,,False,"{'reach': 24, 'loss': 0, 'port': 13}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,medium,TP3-PP3-DP3,TP1-PP3-DP3,2.6191993191919996,1.4473728441839997,1.4473728441839997,1.809623090357656,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,high,TP3-PP3-DP3,TP1-PP3-DP3,2.6191993191919996,1.4473728441839997,1.4473728441839997,1.809623090357656,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,low,none,none,,,1.4473728441839997,,,,,False,"{'reach': 24, 'loss': 0, 'port': 13}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,medium,TP3-PP3-DP3,TP1-PP3-DP3,2.6191993191919996,1.4473728441839997,1.4473728441839997,1.809623090357656,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,high,TP3-PP3-DP3,TP1-PP3-DP3,2.6191993191919996,1.4473728441839997,1.4473728441839997,1.809623090357656,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,low,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 21}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,medium,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 7}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,high,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 0}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,medium,low,none,none,,,1.3391221896013332,,,,,False,"{'reach': 24, 'loss': 0, 'port': 21}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,medium,medium,none,TP1-PP3-DP3,,1.794531569612,1.3391221896013332,,34.00805270400647,12.0,10.5,True,"{'reach': 24, 'loss': 0, 'port': 7}",keep_no_fixed_feasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,medium,high,TP3-PP3-DP3,TP2-PP3-DP3,1.7036376595959997,1.3391221896013332,1.3391221896013332,1.2722047867067197,0.0,14.4,10.5,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,low,none,none,,,1.3391221896013332,,,,,False,"{'reach': 24, 'loss': 0, 'port': 21}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,medium,none,TP1-PP3-DP3,,1.794531569612,1.3391221896013332,,34.00805270400647,12.0,10.5,True,"{'reach': 24, 'loss': 0, 'port': 7}",keep_no_fixed_feasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,high,TP3-PP3-DP3,TP2-PP3-DP3,1.7036376595959997,1.3391221896013332,1.3391221896013332,1.2722047867067197,0.0,14.4,10.5,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,low,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 18}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,medium,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 2}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,high,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 0}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,medium,low,none,none,,,1.5962621833439998,,,,,False,"{'reach': 24, 'loss': 0, 'port': 18}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,medium,medium,none,TP1-PP3-DP3,,1.5962621833439998,1.5962621833439998,,0.0,10.2,11.0,True,"{'reach': 24, 'loss': 0, 'port': 2}",keep_no_fixed_feasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,medium,high,TP3-PP3-DP3,TP1-PP3-DP3,4.529130238384,1.5962621833439998,1.5962621833439998,2.837334797279951,0.0,10.2,11.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,relaxed,low,none,none,,,1.5962621833439998,,,,,False,"{'reach': 24, 'loss': 0, 'port': 18}",infeasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,relaxed,medium,none,TP1-PP3-DP3,,1.5962621833439998,1.5962621833439998,,0.0,10.2,11.0,True,"{'reach': 24, 'loss': 0, 'port': 2}",keep_no_fixed_feasible
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,relaxed,high,TP3-PP3-DP3,TP1-PP3-DP3,4.529130238384,1.5962621833439998,1.5962621833439998,2.837334797279951,0.0,10.2,11.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,strict,low,none,none,,,1.981010593,,,,,False,"{'reach': 24, 'loss': 0, 'port': 13}",infeasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,strict,medium,TP3-PP3-DP3,TP1-PP3-DP3,3.3777875018000003,1.981010593,1.981010593,1.705083008508678,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,strict,high,TP3-PP3-DP3,TP1-PP3-DP3,3.3777875018000003,1.981010593,1.981010593,1.705083008508678,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,low,none,none,,,1.981010593,,,,,False,"{'reach': 24, 'loss': 0, 'port': 13}",infeasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,medium,TP3-PP3-DP3,TP1-PP3-DP3,3.3777875018000003,1.981010593,1.981010593,1.705083008508678,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,high,TP3-PP3-DP3,TP1-PP3-DP3,3.3777875018000003,1.981010593,1.981010593,1.705083008508678,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,low,none,none,,,1.981010593,,,,,False,"{'reach': 24, 'loss': 0, 'port': 13}",infeasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,medium,TP3-PP3-DP3,TP1-PP3-DP3,3.3777875018000003,1.981010593,1.981010593,1.705083008508678,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,high,TP3-PP3-DP3,TP1-PP3-DP3,3.3777875018000003,1.981010593,1.981010593,1.705083008508678,0.0,8.4,10.0,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,low,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 21}",infeasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,medium,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 7}",infeasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,high,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 0}",infeasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,medium,low,none,none,,,1.7976795067666667,,,,,False,"{'reach': 24, 'loss': 0, 'port': 21}",infeasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,medium,medium,none,TP1-PP3-DP3,,2.4492391184999995,1.7976795067666667,,36.244481248230834,12.0,10.5,True,"{'reach': 24, 'loss': 0, 'port': 7}",keep_no_fixed_feasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,medium,high,TP3-PP3-DP3,TP2-PP3-DP3,2.1196405009,1.7976795067666667,1.7976795067666667,1.1790981055974863,0.0,14.4,10.5,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,low,none,none,,,1.7976795067666667,,,,,False,"{'reach': 24, 'loss': 0, 'port': 21}",infeasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,medium,none,TP1-PP3-DP3,,2.4492391184999995,1.7976795067666667,,36.244481248230834,12.0,10.5,True,"{'reach': 24, 'loss': 0, 'port': 7}",keep_no_fixed_feasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,relaxed,high,TP3-PP3-DP3,TP2-PP3-DP3,2.1196405009,1.7976795067666667,1.7976795067666667,1.1790981055974863,0.0,14.4,10.5,True,"{'reach': 24, 'loss': 0, 'port': 0}",strong_keep
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,low,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 18}",infeasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,medium,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 2}",infeasible
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,deep_oversubscribed_global_bottleneck,strict,high,none,none,,,,,,,,False,"{'reach': 24, 'loss': 19, 'port': 0}",infeasible
