comm_class,start_us,end_us,duration_us,ranks,label
TP,2.037000,2.068000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.3.mha.qkv@0_X1COMM
TP,2.037000,2.068000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.3.mha.qkv@0_X1COMM
TP,2.068000,2.099000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.3.mha.dwqkv@0_X2_COMM
TP,2.068000,2.099000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.3.mha.dwqkv@0_X2_COMM
TP,2.099000,2.130000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.3.mha.qkv@0_X1COMM
TP,2.099000,2.130000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.3.mha.qkv@0_X1COMM
TP,2.130000,2.161000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.3.mha.dwqkv@0_X2_COMM
TP,2.130000,2.161000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.3.mha.dwqkv@0_X2_COMM
TP,2.161000,2.253000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.3.mha.o@0_X1COMM
TP,2.161000,2.253000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.3.mha.o@0_X1COMM
TP,2.253000,2.345000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.3.mha.o@0_X1COMM
TP,2.253000,2.345000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.3.mha.o@0_X1COMM
TP,2.345000,2.376000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.3.ffn.x00@0_X1COMM
TP,2.345000,2.376000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.3.ffn.x00@0_X1COMM
TP,2.376000,2.407000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.3.ffn.x01@0_X1COMM
TP,2.376000,2.407000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.3.ffn.x01@0_X1COMM
TP,2.407000,2.438000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.3.ffn.x00@0_X1COMM
TP,2.407000,2.438000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.3.ffn.x00@0_X1COMM
TP,2.438000,2.469000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.3.ffn.x01@0_X1COMM
TP,2.438000,2.469000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.3.ffn.x01@0_X1COMM
TP,2.469000,2.561000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.3.ffn.xdown@0_X1COMM
TP,2.469000,2.561000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.3.ffn.xdown@0_X1COMM
TP,2.561000,2.653000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.3.ffn.xdown@0_X1COMM
TP,2.561000,2.653000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.3.ffn.xdown@0_X1COMM
TP,2.942000,2.973000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.3.ffn.dxdown2@0_X1COMM
TP,2.942000,2.973000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.3.ffn.dxdown2@0_X1COMM
TP,3.131000,3.162000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.3.ffn.dxdown2@0_X1COMM
TP,3.131000,3.162000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.3.ffn.dxdown2@0_X1COMM
DP,3.162000,85.092000,81.930000,0 1,DP:ALL_REDUCE:out_emb.w@1_X2_COMM
DP,3.162000,85.092000,81.930000,2 3,DP:ALL_REDUCE:out_emb.w@1_X2_COMM
DP,3.162000,85.092000,81.930000,4 5,DP:ALL_REDUCE:out_emb.w@1_X2_COMM
DP,3.162000,85.092000,81.930000,6 7,DP:ALL_REDUCE:out_emb.w@1_X2_COMM
TP,85.092000,85.184000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.3.ffn.dx0@0_X1COMM
TP,85.092000,85.184000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.3.ffn.dx0@0_X1COMM
TP,85.184000,85.276000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.3.ffn.dx0@0_X1COMM
TP,85.184000,85.276000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.3.ffn.dx0@0_X1COMM
DP,85.276000,167.206000,81.930000,0 2 4 6,DP:ALL_REDUCE:out_emb.w@1_X2_COMM
DP,85.276000,167.206000,81.930000,1 3 5 7,DP:ALL_REDUCE:out_emb.w@1_X2_COMM
TP,167.206000,167.237000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.3.mha.do1@0_X1COMM
TP,167.206000,167.237000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.3.mha.do1@0_X1COMM
TP,167.237000,167.268000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.3.mha.do1@0_X1COMM
TP,167.237000,167.268000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.3.mha.do1@0_X1COMM
DP,167.268000,168.262000,0.994000,0 1,DP:ALL_REDUCE:mb0.transformer.3._sharded_grad@0_X1COMM
DP,167.268000,168.262000,0.994000,2 3,DP:ALL_REDUCE:mb0.transformer.3._sharded_grad@0_X1COMM
DP,167.268000,168.262000,0.994000,4 5,DP:ALL_REDUCE:mb0.transformer.3._sharded_grad@0_X1COMM
DP,167.268000,168.262000,0.994000,6 7,DP:ALL_REDUCE:mb0.transformer.3._sharded_grad@0_X1COMM
TP,168.262000,168.354000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.3.mha.dx@0_X1COMM
TP,168.262000,168.354000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.3.mha.dx@0_X1COMM
DP,168.354000,169.348000,0.994000,0 1,DP:ALL_REDUCE:mb1.transformer.3._sharded_grad@0_X1COMM
DP,168.354000,169.348000,0.994000,2 3,DP:ALL_REDUCE:mb1.transformer.3._sharded_grad@0_X1COMM
DP,168.354000,169.348000,0.994000,4 5,DP:ALL_REDUCE:mb1.transformer.3._sharded_grad@0_X1COMM
DP,168.354000,169.348000,0.994000,6 7,DP:ALL_REDUCE:mb1.transformer.3._sharded_grad@0_X1COMM
TP,169.348000,169.440000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.3.mha.dx@0_X1COMM
TP,169.348000,169.440000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.3.mha.dx@0_X1COMM
TP,169.440000,169.471000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.2.ffn.dxdown2@0_X1COMM
TP,169.440000,169.471000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.2.ffn.dxdown2@0_X1COMM
TP,169.471000,169.502000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.2.ffn.dxdown2@0_X1COMM
TP,169.471000,169.502000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.2.ffn.dxdown2@0_X1COMM
TP,169.502000,169.594000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.2.ffn.dx0@0_X1COMM
TP,169.502000,169.594000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.2.ffn.dx0@0_X1COMM
TP,169.594000,169.686000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.2.ffn.dx0@0_X1COMM
